OBJECTID,PROCLAIMEDFORESTID,FORESTNAME,GIS_ACRES,SHAPEAREA,SHAPELEN
200571,66329010328,Bighorn National Forest,1112645.655,0.509899056839541,4.94336295998263
200572,93007010328,Gifford Pinchot National Forest,1532172.644,0.722290382840651,11.6793356946263
200573,96812010328,Manti-La Sal National Forest,1337654.214,0.561731859851647,9.95330770859278
200574,96813010328,Uinta National Forest,961743.024,0.411376872398801,6.87478462089548
200575,105935010328,Kaibab National Forest,1601002.978,0.647155542353176,9.14000185064426
200576,106640010328,Fremont National Forest,1713917.383,0.76051836030342,11.2820019312184
200577,106887010328,Mt. Baker National Forest,1317676.621,0.648567493775427,10.659632815699
200578,107266010328,Olympic National Forest,695868.519,0.337426382213916,8.17973962564002
200579,107474010328,Wallowa National Forest,1064857.162,0.496222294690962,9.02773383553934
200580,108201010328,Wenatchee National Forest,1963052.04,0.952602338086383,15.7072997281505
200581,108625010328,Snoqualmie National Forest,1586107.274,0.761840415256104,15.8076536408743
200582,109214010328,Whitman National Forest,1311082.638,0.605271633778649,18.3203458583093
200583,262611010328,Winema National Forest,1094251.13,0.487341326106239,14.553148278801
200584,275385010328,Medicine Bow National Forest,1388358.646,0.606666822033329,10.9013280099784
200585,295365010328,William B. Bankhead National Forest,349259.985,0.138291598629225,2.45151510735884
200586,295366010328,Conecuh National Forest,171214.999,0.0655008526929801,1.59622055302877
200587,295367010328,Talladega National Forest,753783.719,0.295010514711761,6.34080831043439
200588,295368010328,Tuskegee National Forest,15649.277,0.00607477946237795,0.506328000315441
200589,295369010328,Chugach National Forest,6244683.431,4.14644490087805,140.665710927593
200590,295370010328,Tongass National Forest,17697835.171,10.6060228291745,382.649435195531
200591,295371010328,Ouachita National Forest,2724204.122,1.08355443437316,15.4271993672292
200592,295372010328,Apache National Forest,1869703.247,0.736196283591434,6.52678480304948
200593,295373010328,Coconino National Forest,2009446.799,0.80213761248285,7.02463214419169
200594,295374010328,Coronado National Forest,1784500.095,0.689065139323144,16.2372249027715
200595,295375010328,Prescott National Forest,1411303.258,0.561693066039338,8.0863699669953
200596,295376010328,Sitgreaves National Forest,886990.733,0.351902719162794,5.02272030055323
200597,295377010328,Tonto National Forest,2966417.901,1.16976277999412,7.9128693932442
200598,295378010328,Ozark National Forest,1492437.156,0.601513274070254,9.38015997635061
200599,295379010328,St. Francis National Forest,29615.214,0.0117854454453178,0.685617193540597
200600,295380010328,Angeles National Forest,695598.432,0.276018423286662,4.67452999338889
200601,295381010328,Cleveland National Forest,561176.482,0.219577628952056,6.23389505652748
200602,295382010328,Eldorado National Forest,891954.713,0.374289259400954,8.75306010760669
200603,295383010328,Inyo National Forest,2067786.113,0.850925414257521,14.0002640809514
200604,295384010328,Six Rivers National Forest,1081945.496,0.469495600747119,9.98010613882945
200605,295385010328,Klamath National Forest,1868325.583,0.816536821259142,18.9607324121437
200606,295386010328,Lassen National Forest,1376571.518,0.591615959672735,17.744472509096
200607,295387010328,Los Padres National Forest,1956740.523,0.782005151548947,12.9612688993019
200608,295388010328,Mendocino National Forest,1072408.97,0.455288679894852,4.7337047044619
